ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,787,1066,1.0,0.69,0.28,9.78,1.76,0.67,0.68,0.99,2.49
1,652,841,1.0,0.49,0.27,6.59,1.32,0.81,0.84,0.98,1.8
2,720,892,1.0,0.62,0.26,8.22,1.59,0.69,0.71,0.98,2.39
3,816,1085,1.0,0.82,0.26,11.44,2.03,0.59,0.58,0.97,3.11
4,376,794,2.0,1.04,0.29,15.95,2.53,0.53,0.49,0.93,3.58
5,211,789,1.0,0.6,0.29,8.27,1.56,0.72,0.76,0.98,2.08
6,449,790,1.0,0.41,0.26,5.27,1.16,0.84,0.89,0.98,1.58
7,585,609,1.0,0.58,0.29,8.2,1.53,0.75,0.79,0.99,2.0
8,1320,291,1.0,0.64,0.28,8.88,1.62,0.72,0.72,0.98,2.3
9,697,735,1.0,0.56,0.27,7.24,1.47,0.72,0.76,0.97,2.03
10,456,654,1.0,0.78,0.27,10.32,1.94,0.59,0.58,0.97,2.86
11,614,649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,495,981,1.0,0.61,0.32,9.17,1.6,0.76,0.8,0.99,1.91
13,1343,925,1.0,0.59,0.24,7.25,1.52,0.67,0.69,0.98,2.44
14,746,1322,1.0,0.41,0.21,4.61,1.14,0.75,0.81,0.99,1.97
15,1325,388,1.0,0.59,0.25,7.76,1.52,0.71,0.73,0.99,2.33
16,777,1231,1.0,0.36,0.19,3.86,1.03,0.78,0.86,0.98,1.9
17,960,1097,1.0,0.63,0.26,8.58,1.63,0.69,0.71,0.99,2.44
18,313,605,1.0,0.27,0.2,2.85,0.84,0.85,0.96,0.99,1.38
19,1148,623,1.0,0.56,0.26,7.1,1.43,0.74,0.75,0.99,2.19
20,1145,932,1.0,0.51,0.29,7.08,1.39,0.78,0.84,0.98,1.76
21,836,891,1.0,0.54,0.24,6.71,1.41,0.72,0.74,0.99,2.3
22,490,850,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1216,1071,1.0,0.6,0.35,9.39,1.61,0.77,0.83,0.95,1.72
24,1324,341,1.0,0.53,0.24,6.53,1.35,0.76,0.77,1.0,2.2
25,1389,1104,1.0,0.46,0.22,5.36,1.23,0.75,0.79,0.99,2.08
26,779,949,1.0,0.22,0.21,2.22,0.73,0.9,0.99,1.0,1.07
27,158,572,1.0,0.63,0.29,8.64,1.65,0.68,0.71,0.95,2.19
28,733,861,1.0,0.4,0.2,4.47,1.12,0.76,0.82,0.98,1.96
29,833,591,1.0,0.61,0.28,8.42,1.6,0.7,0.74,0.99,2.19
30,1208,1000,1.0,0.75,0.29,10.17,1.89,0.61,0.63,0.92,2.59
31,785,1191,1.0,0.46,0.21,5.22,1.24,0.72,0.76,0.98,2.21
32,400,639,1.0,0.69,0.28,10.02,1.77,0.68,0.69,0.98,2.45
33,1409,1248,1.0,0.63,0.27,8.42,1.6,0.7,0.73,0.98,2.31
34,1300,917,1.0,0.55,0.26,7.25,1.46,0.72,0.75,0.98,2.13
35,1375,1045,1.0,0.62,0.26,8.14,1.58,0.7,0.71,0.99,2.41
36,384,1064,1.0,0.61,0.33,9.86,1.65,0.77,0.82,0.97,1.85
37,558,902,3.0,1.61,0.28,23.0,3.94,0.31,0.28,0.77,5.67
38,939,925,1.0,0.54,0.25,6.98,1.41,0.75,0.77,0.98,2.13
39,615,235,1.0,0.61,0.29,8.71,1.6,0.73,0.77,0.99,2.1
40,941,888,1.0,0.29,0.2,3.03,0.85,0.9,0.96,1.0,1.41
41,306,793,1.0,0.59,0.29,8.22,1.53,0.74,0.77,0.97,2.05
42,874,608,1.0,0.52,0.22,6.02,1.36,0.69,0.72,0.97,2.33
43,865,1322,1.0,0.67,0.28,9.25,1.71,0.68,0.7,0.99,2.37
44,354,619,1.0,0.63,0.23,7.78,1.6,0.65,0.65,0.98,2.71
45,1200,1242,1.0,0.64,0.35,10.44,1.73,0.75,0.82,0.94,1.81
46,826,987,1.0,0.45,0.31,6.56,1.36,0.75,0.9,0.96,1.46
47,665,304,1.0,0.62,0.29,8.93,1.6,0.74,0.77,0.99,2.12
48,749,825,1.0,0.42,0.21,4.71,1.16,0.75,0.8,0.98,1.96
49,229,584,1.0,0.6,0.34,9.34,1.63,0.74,0.8,0.94,1.75
50,976,594,1.0,0.55,0.25,6.86,1.41,0.73,0.75,0.99,2.15
51,1064,302,1.0,0.69,0.3,10.31,1.82,0.67,0.69,0.96,2.34
52,995,152,1.0,0.65,0.28,9.17,1.67,0.7,0.73,0.98,2.31
53,59,763,1.0,0.52,0.24,6.36,1.36,0.74,0.76,0.98,2.12
54,1324,549,1.0,0.59,0.22,7.15,1.51,0.66,0.68,0.98,2.68
55,1130,890,1.0,0.47,0.28,6.46,1.29,0.83,0.88,0.99,1.69
56,417,1038,1.0,0.58,0.29,8.61,1.56,0.75,0.79,0.98,1.99
57,1041,1097,1.0,0.57,0.29,7.86,1.53,0.72,0.78,0.97,1.97
58,1363,993,1.0,0.64,0.26,8.51,1.65,0.67,0.68,0.98,2.47
59,696,344,1.0,0.58,0.31,8.54,1.52,0.79,0.83,0.99,1.89
60,1236,683,1.0,0.31,0.2,3.27,0.91,0.84,0.93,0.99,1.5
61,492,705,1.0,0.42,0.24,4.47,1.32,0.54,0.71,0.8,1.78
62,623,679,1.0,0.58,0.27,8.07,1.53,0.74,0.78,0.98,2.12
63,461,877,1.0,0.57,0.27,8.0,1.49,0.77,0.79,0.99,2.11
64,1206,1134,1.0,0.65,0.28,8.88,1.65,0.69,0.7,0.99,2.36
65,799,1134,1.0,0.64,0.26,8.31,1.64,0.66,0.67,0.98,2.47
66,1325,441,1.0,0.41,0.2,4.47,1.13,0.75,0.82,0.98,1.99
67,848,1360,1.0,0.52,0.24,6.39,1.37,0.72,0.76,0.97,2.15
68,1024,1016,1.0,0.34,0.2,3.69,0.95,0.87,0.92,1.0,1.66
69,882,498,1.0,0.49,0.25,6.46,1.33,0.78,0.82,0.97,1.93
70,1047,930,1.0,0.49,0.31,7.15,1.35,0.84,0.9,0.98,1.61
71,759,1279,1.0,0.43,0.21,4.81,1.18,0.74,0.79,0.98,2.05
72,866,458,1.0,0.6,0.28,8.76,1.57,0.75,0.77,0.99,2.19
73,888,550,2.0,0.77,0.25,9.69,2.14,0.45,0.53,0.82,3.01
74,576,846,1.0,0.56,0.3,7.92,1.5,0.75,0.81,0.98,1.88
75,1174,894,1.0,0.49,0.24,6.08,1.32,0.74,0.78,0.98,2.1
76,919,1194,1.0,0.61,0.27,8.39,1.6,0.7,0.72,0.98,2.31
77,1404,1152,1.0,0.62,0.26,7.95,1.56,0.69,0.7,0.99,2.4
78,452,1015,1.0,0.59,0.32,9.19,1.6,0.76,0.81,0.98,1.85
79,1108,852,1.0,0.41,0.22,4.81,1.15,0.78,0.84,0.98,1.86
80,944,1143,1.0,0.61,0.27,8.02,1.57,0.69,0.72,0.98,2.29
81,1121,522,1.0,0.47,0.24,5.61,1.27,0.75,0.79,0.99,2.0
82,1085,485,1.0,0.6,0.32,9.03,1.59,0.76,0.81,0.99,1.91
83,1211,880,1.0,0.25,0.2,2.59,0.78,0.91,0.98,1.0,1.25
84,1409,1200,1.0,0.56,0.25,7.37,1.46,0.74,0.77,0.99,2.2
85,525,803,1.0,0.54,0.28,7.39,1.43,0.77,0.81,0.99,1.9
86,1073,1031,1.0,0.43,0.33,6.81,1.36,0.79,0.93,0.91,1.33
87,1203,1335,1.0,0.58,0.29,8.07,1.52,0.74,0.8,0.97,1.98
88,1265,905,1.0,0.49,0.24,5.93,1.3,0.75,0.79,0.98,2.06
