ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,695,542,5.0,1.96,0.36,27.81,5.0,0.24,0.27,0.8,5.46
1,793,794,1.0,0.43,0.24,5.12,1.16,0.81,0.86,0.99,1.77
2,943,324,2.0,0.86,0.24,10.78,2.23,0.46,0.46,0.86,3.56
3,754,1005,1.0,0.34,0.22,3.76,1.02,0.78,0.9,0.96,1.53
4,996,1004,1.0,0.53,0.29,7.32,1.46,0.74,0.8,0.94,1.83
5,545,746,1.0,0.47,0.24,6.0,1.28,0.78,0.82,0.99,1.93
6,1429,1138,1.0,0.43,0.26,5.78,1.24,0.8,0.88,0.97,1.67
7,909,303,1.0,0.49,0.27,6.54,1.31,0.81,0.85,1.0,1.81
8,1060,310,1.0,0.31,0.24,3.54,0.93,0.86,0.95,0.99,1.32
9,948,244,1.0,0.49,0.26,6.41,1.31,0.8,0.84,1.0,1.87
10,1136,746,1.0,0.44,0.27,5.81,1.22,0.83,0.88,0.99,1.62
11,1553,433,1.0,0.41,0.24,5.02,1.13,0.83,0.88,0.98,1.7
12,1608,348,3.0,1.31,0.27,17.07,3.49,0.3,0.32,0.59,4.87
13,666,386,2.0,0.7,0.31,11.31,1.91,0.66,0.7,0.86,2.25
14,996,1033,1.0,0.32,0.2,3.47,0.93,0.86,0.93,0.99,1.59
15,652,237,1.0,0.5,0.28,7.03,1.36,0.81,0.86,1.0,1.78
16,953,1024,2.0,0.77,0.3,10.8,1.97,0.59,0.61,0.94,2.55
17,387,604,7.0,2.87,0.32,41.78,7.0,0.18,0.16,0.68,8.98
18,573,735,2.0,0.81,0.3,11.39,2.05,0.58,0.58,0.85,2.73
19,1269,329,1.0,0.35,0.23,4.12,1.02,0.84,0.92,0.99,1.53
20,611,532,1.0,0.2,0.2,1.93,0.68,0.89,1.0,1.0,1.0
21,769,333,4.0,1.67,0.32,25.19,3.98,0.34,0.31,0.64,5.14
22,736,439,2.0,0.79,0.24,10.14,1.93,0.58,0.55,0.94,3.32
23,266,609,2.0,0.98,0.28,13.14,2.57,0.42,0.43,0.78,3.49
24,729,773,1.0,0.43,0.26,5.73,1.22,0.82,0.88,0.99,1.67
25,574,455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1657,316,1.0,0.65,0.28,9.49,1.72,0.68,0.7,0.95,2.31
27,536,523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1468,379,1.0,0.46,0.24,5.85,1.27,0.77,0.82,0.98,1.91
29,986,828,2.0,0.77,0.24,9.34,2.1,0.45,0.48,0.8,3.19
30,1326,990,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,678,798,1.0,0.32,0.21,3.49,0.94,0.83,0.92,0.99,1.57
32,1217,807,1.0,0.38,0.24,4.49,1.07,0.83,0.89,1.0,1.58
33,1245,376,2.0,0.86,0.27,11.24,2.18,0.5,0.49,0.89,3.23
34,991,980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1269,440,1.0,0.34,0.2,3.73,0.99,0.81,0.89,0.98,1.68
36,697,367,1.0,0.47,0.27,6.34,1.29,0.81,0.87,0.99,1.7
37,1217,897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1372,1048,1.0,0.33,0.22,3.73,0.96,0.87,0.94,1.0,1.46
39,597,149,1.0,0.43,0.34,6.36,1.27,0.85,0.94,0.95,1.26
40,372,949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1172,837,2.0,0.92,0.25,11.41,2.48,0.4,0.42,0.77,3.65
42,959,1099,1.0,0.59,0.25,7.68,1.5,0.73,0.74,0.99,2.33
43,168,696,1.0,0.52,0.29,7.54,1.44,0.77,0.85,0.93,1.77
44,1033,367,1.0,0.55,0.26,7.29,1.45,0.74,0.77,0.99,2.12
45,609,176,1.0,0.45,0.28,6.34,1.26,0.85,0.89,0.99,1.6
46,1154,899,1.0,0.36,0.24,4.19,1.03,0.85,0.93,1.0,1.49
47,931,1075,2.0,0.74,0.25,8.81,2.05,0.45,0.48,0.73,2.92
48,656,1013,4.0,1.84,0.32,26.56,4.55,0.27,0.24,0.68,5.84
49,525,767,1.0,0.39,0.31,5.73,1.2,0.85,0.96,0.96,1.27
50,1306,157,1.0,0.44,0.26,5.54,1.21,0.81,0.87,0.99,1.72
51,530,938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1078,443,2.0,0.79,0.24,9.73,2.01,0.51,0.51,0.88,3.25
53,443,514,1.0,0.64,0.26,8.44,1.63,0.67,0.68,0.95,2.41
54,422,960,4.0,1.6,0.33,21.41,4.0,0.28,0.26,0.7,4.8
55,487,383,1.0,0.39,0.2,4.36,1.05,0.84,0.86,1.0,1.91
56,1522,439,2.0,0.69,0.26,9.19,1.78,0.61,0.63,0.93,2.71
57,936,206,1.0,0.45,0.22,5.27,1.22,0.75,0.8,0.99,2.01
58,1106,379,1.0,0.45,0.23,5.36,1.22,0.76,0.8,0.98,1.98
59,1261,963,4.0,1.52,0.27,21.07,3.66,0.33,0.31,0.71,5.75
60,751,1044,1.0,0.58,0.26,7.68,1.52,0.71,0.75,0.95,2.26
61,776,448,1.0,0.47,0.24,5.81,1.27,0.77,0.81,0.99,1.99
62,594,505,1.0,0.43,0.26,5.49,1.21,0.8,0.87,0.98,1.67
63,954,1137,1.0,0.54,0.22,6.47,1.4,0.7,0.71,0.98,2.44
64,623,555,1.0,0.29,0.2,3.05,0.86,0.87,0.96,1.0,1.42
65,700,904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1390,1079,1.0,0.34,0.2,3.66,0.99,0.79,0.87,0.99,1.68
67,647,1167,6.0,2.89,0.3,41.14,6.84,0.19,0.16,0.77,9.61
68,1450,416,2.0,0.8,0.24,9.85,2.04,0.5,0.49,0.89,3.3
69,430,343,1.0,0.4,0.29,5.86,1.21,0.85,0.94,0.99,1.39
70,701,787,1.0,0.45,0.25,5.86,1.25,0.8,0.87,0.99,1.79
71,1175,966,1.0,0.55,0.21,6.37,1.43,0.66,0.68,0.97,2.57
72,401,759,3.0,1.16,0.38,19.14,2.97,0.46,0.5,0.76,3.09
73,526,912,1.0,0.39,0.2,4.32,1.07,0.81,0.85,0.99,1.92
74,744,946,1.0,0.39,0.27,5.22,1.15,0.84,0.91,0.97,1.44
75,726,875,1.0,0.2,0.2,1.93,0.68,0.89,1.0,1.0,1.0
76,298,644,1.0,0.45,0.26,5.83,1.24,0.81,0.86,0.98,1.75
77,359,663,1.0,0.25,0.22,2.78,0.8,0.92,0.99,1.0,1.14
78,892,946,4.0,1.51,0.29,22.42,3.62,0.36,0.34,0.89,5.23
79,571,125,2.0,0.66,0.33,10.25,1.73,0.73,0.76,0.97,2.02
80,704,1081,3.0,1.43,0.29,20.85,3.41,0.38,0.35,0.85,4.94
81,1449,1172,2.0,0.83,0.29,11.76,2.13,0.55,0.55,0.81,2.87
82,1097,406,1.0,0.41,0.23,4.86,1.14,0.79,0.85,0.99,1.8
83,366,1008,1.0,0.5,0.28,6.81,1.34,0.8,0.84,0.99,1.78
84,949,764,4.0,1.95,0.31,28.0,4.52,0.29,0.26,0.88,6.37
85,497,522,2.0,0.86,0.32,12.37,2.12,0.58,0.59,0.92,2.68
86,1253,304,1.0,0.4,0.27,5.15,1.16,0.82,0.89,0.97,1.51
87,485,327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1042,339,1.0,0.4,0.23,4.75,1.11,0.82,0.88,0.99,1.75
89,475,446,1.0,0.32,0.22,3.53,0.94,0.85,0.93,0.99,1.47
90,529,842,2.0,1.14,0.27,16.41,2.64,0.5,0.44,0.94,4.18
91,689,431,1.0,0.27,0.22,2.9,0.82,0.91,0.98,1.0,1.23
92,142,664,1.0,0.46,0.27,6.08,1.28,0.79,0.86,0.97,1.69
93,811,723,3.0,1.4,0.33,21.29,3.46,0.38,0.38,0.89,4.2
94,874,488,1.0,0.68,0.24,8.17,1.71,0.59,0.6,0.95,2.85
95,752,760,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1428,544,3.0,1.25,0.25,15.97,3.11,0.35,0.32,0.73,4.93
97,940,1218,5.0,2.04,0.27,27.63,4.61,0.28,0.22,0.87,7.45
98,657,945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,650,812,1.0,0.31,0.27,4.0,0.97,0.9,0.98,0.98,1.12
100,380,245,4.0,1.74,0.32,26.98,4.42,0.29,0.3,0.74,5.46
101,1343,1046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,747,973,1.0,0.31,0.25,3.86,0.95,0.91,0.99,0.99,1.2
