ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,1013,1445,1.0,0.63,0.31,9.9,1.7,0.73,0.77,0.95,2.06
1,147,650,1.0,0.77,0.27,11.17,1.94,0.63,0.62,0.98,2.88
2,1110,225,1.0,0.69,0.35,11.51,1.8,0.76,0.79,1.0,1.99
3,1522,1246,1.0,0.67,0.38,11.95,1.8,0.79,0.84,0.96,1.77
4,1031,567,1.0,0.56,0.29,7.98,1.52,0.74,0.79,0.98,1.93
5,317,380,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1034,1404,1.0,0.58,0.31,8.81,1.56,0.77,0.81,0.99,1.91
7,319,630,1.0,0.5,0.23,6.27,1.36,0.73,0.75,0.97,2.18
8,710,947,1.0,0.38,0.25,4.68,1.1,0.82,0.9,0.99,1.49
9,352,1146,1.0,0.58,0.3,8.76,1.56,0.77,0.8,0.99,1.97
10,807,880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,983,506,1.0,0.52,0.31,8.08,1.44,0.83,0.87,0.99,1.71
12,598,1004,1.0,0.59,0.27,8.07,1.54,0.73,0.75,0.96,2.17
13,544,1049,1.0,0.74,0.31,11.75,1.89,0.7,0.71,0.99,2.39
14,983,453,1.0,0.6,0.29,8.49,1.58,0.72,0.76,0.96,2.07
15,556,805,1.0,0.65,0.29,9.75,1.7,0.72,0.74,0.99,2.25
16,1347,465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,736,583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,754,930,1.0,0.63,0.3,9.69,1.65,0.76,0.78,0.99,2.08
19,613,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,874,967,1.0,0.63,0.32,9.59,1.66,0.74,0.79,0.99,1.98
21,774,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1068,135,1.0,0.73,0.32,11.95,1.9,0.71,0.74,0.98,2.29
23,1422,640,2.0,1.25,0.32,19.07,3.06,0.43,0.4,0.82,3.85
24,1295,1097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,765,614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1193,1112,1.0,0.49,0.27,6.83,1.34,0.81,0.84,0.99,1.79
27,1557,1283,2.0,0.75,0.36,11.12,2.13,0.52,0.62,0.8,2.09
28,1352,507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1056,89,1.0,0.58,0.25,7.68,1.54,0.69,0.71,0.98,2.34
30,1526,1190,2.0,1.09,0.33,17.22,2.65,0.52,0.49,0.93,3.33
31,1108,599,1.0,0.59,0.28,8.53,1.55,0.76,0.79,0.99,2.13
32,176,701,1.0,0.65,0.35,10.53,1.72,0.76,0.81,0.97,1.87
33,502,816,1.0,0.37,0.24,4.54,1.07,0.84,0.92,0.99,1.56
34,1361,583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,709,552,1.0,0.54,0.25,7.32,1.44,0.75,0.77,0.98,2.13
36,793,191,1.0,0.58,0.28,8.32,1.53,0.76,0.79,0.99,2.04
37,1060,814,1.0,0.57,0.3,8.31,1.54,0.75,0.81,0.97,1.91
38,1129,1156,1.0,0.53,0.29,7.93,1.45,0.8,0.84,0.99,1.82
39,1080,1334,1.0,0.76,0.33,12.1,1.92,0.7,0.71,0.98,2.26
40,1174,1222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1217,261,1.0,0.27,0.24,3.24,0.87,0.92,1.0,1.0,1.13
42,456,826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,724,56,1.0,0.64,0.3,9.69,1.74,0.68,0.71,0.93,2.13
